,id,breed
0,n02115913_4275,dhole
1,n02107312_5686,miniature_pinscher
2,n02105505_3578,komondor
3,n02102040_2481,english_springer
4,n02096177_12882,cairn
5,n02097209_2347,standard_schnauzer
6,n02100735_8318,english_setter
7,n02093428_17280,american_staffordshire_terrier
8,n02096585_5943,boston_bull
9,n02085936_9812,maltese_dog
10,n02093859_1003,kerry_blue_terrier
11,n02094258_1805,norwich_terrier
12,n02100735_7013,english_setter
13,n02110806_3376,basenji
14,n02090721_2068,irish_wolfhound
15,n02098105_190,soft
16,n02087046_3843,toy_terrier
17,n02113712_4233,miniature_poodle
18,n02090721_3773,irish_wolfhound
19,n02091831_4487,saluki
20,n02095570_6175,lakeland_terrier
21,n02110627_1387,affenpinscher
22,n02089973_3604,english_foxhound
23,n02105412_7810,kelpie
24,n02098413_21411,lhasa
25,n02085936_22127,maltese_dog
26,n02086910_7909,papillon
27,n02087046_6266,toy_terrier
28,n02105641_10151,old_english_sheepdog
29,n02113799_5486,standard_poodle
30,n02099429_2930,curly
31,n02093647_3277,bedlington_terrier
32,n02104365_9611,schipperke
33,n02110627_13420,affenpinscher
34,n02106550_7616,rottweiler
35,n02096294_8067,australian_terrier
36,n02104029_1214,kuvasz
37,n02108551_3284,tibetan_mastiff
38,n02088364_11509,beagle
39,n02088466_10408,bloodhound
40,n02091134_12318,whippet
41,n02098413_15855,lhasa
42,n02113978_3670,mexican_hairless
43,n02106030_3948,collie
44,n02106550_5311,rottweiler
45,n02097474_7508,tibetan_terrier
46,n02091134_39,whippet
47,n02086646_2955,blenheim_spaniel
48,n02112706_1530,brabancon_griffon
49,n02102040_2764,english_springer
50,n02109047_6447,great_dane
51,n02088364_11836,beagle
52,n02108551_5540,tibetan_mastiff
53,n02094433_716,yorkshire_terrier
54,n02094258_2191,norwich_terrier
55,n02106030_17679,collie
56,n02087046_6812,toy_terrier
57,n02100236_486,german_short
58,n02097047_232,miniature_schnauzer
59,n02099267_913,flat
60,n02085782_3354,japanese_spaniel
61,n02111889_1994,samoyed
62,n02110063_8320,malamute
63,n02105855_7717,shetland_sheepdog
64,n02097047_6553,miniature_schnauzer
65,n02113186_8678,cardigan
66,n02089078_2227,black
67,n02093428_8582,american_staffordshire_terrier
68,n02099429_3402,curly
69,n02098413_2620,lhasa
70,n02089078_1836,black
71,n02106382_1648,bouvier_des_flandres
72,n02094114_745,norfolk_terrier
73,n02091635_4628,otterhound
74,n02088632_4109,bluetick
75,n02111500_9018,great_pyrenees
76,n02115641_9067,dingo
77,n02085782_4438,japanese_spaniel
78,n02100583_11701,vizsla
79,n02104365_8156,schipperke
80,n02090379_3415,redbone
81,n02095889_2395,sealyham_terrier
82,n02110185_9429,siberian_husky
83,n02102318_9980,cocker_spaniel
84,n02090379_5466,redbone
85,n02085936_22167,maltese_dog
86,n02085782_2345,japanese_spaniel
87,n02106550_7393,rottweiler
88,n02107574_1491,greater_swiss_mountain_dog
89,n02099429_2393,curly
90,n02095889_1916,sealyham_terrier
91,n02088094_5345,afghan_hound
92,n02096294_4205,australian_terrier
93,n02095889_5543,sealyham_terrier
94,n02100735_7553,english_setter
95,n02091467_6770,norwegian_elkhound
96,n02100236_4556,german_short
97,n02106382_2370,bouvier_des_flandres
98,n02097209_1364,standard_schnauzer
99,n02088466_7178,bloodhound
100,n02091831_38,saluki
101,n02088094_1430,afghan_hound
102,n02093647_239,bedlington_terrier
103,n02093754_7390,border_terrier
104,n02108915_4372,french_bulldog
105,n02110958_3938,pug
106,n02106662_29517,german_shepherd
107,n02108422_3440,bull_mastiff
108,n02097298_809,scotch_terrier
109,n02107683_4183,bernese_mountain_dog
110,n02093859_2223,kerry_blue_terrier
111,n02108915_3557,french_bulldog
112,n02099267_5540,flat
113,n02086646_1586,blenheim_spaniel
114,n02107142_248,doberman
115,n02093428_3164,american_staffordshire_terrier
116,n02095570_1157,lakeland_terrier
117,n02086240_2077,shih
118,n02102177_4255,welsh_springer_spaniel
119,n02105855_14052,shetland_sheepdog
120,n02093647_2585,bedlington_terrier
121,n02095314_105,wire
122,n02093991_3695,irish_terrier
123,n02111277_2038,newfoundland
124,n02115913_593,dhole
125,n02095570_3534,lakeland_terrier
126,n02102480_5873,sussex_spaniel
127,n02096294_8467,australian_terrier
128,n02112706_204,brabancon_griffon
129,n02106382_1828,bouvier_des_flandres
130,n02105251_5303,briard
131,n02097209_1889,standard_schnauzer
132,n02102040_4256,english_springer
133,n02099712_6318,labrador_retriever
134,n02097474_5182,tibetan_terrier
135,n02110063_13152,malamute
136,n02104365_7791,schipperke
137,n02108422_3911,bull_mastiff
138,n02089078_3923,black
139,n02102318_6612,cocker_spaniel
140,n02111129_686,leonberg
141,n02093256_1505,staffordshire_bullterrier
142,n02113712_1036,miniature_poodle
143,n02099429_907,curly
144,n02096051_3500,airedale
